Result, Turns, Water Level, Tiles Left, Diver, Engineer, Explorer, Messenger, Navigator, Pilot, Tr1, Tr2, Tr3, Tr4, Reason
LOSS, 19, 8, 10, , P, P, P, P, , , C, , C, Game Over! Fools' Landing has sunk
LOSS, 23, 9, 4, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 17, 8, 6, P, , P, P, , P, , , C, C, Game Over! Treasure 1 can't be captured
LOSS, 20, 8, 6, , P, P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 18, 8, 11, P, , , P, P, P, , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 11, 4, 16, P, P, P, , , P, , , , C, Game Over! Treasure 2 can't be captured
LOSS, 23, 10, 8, , P, P, , P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 13, 6, 15, P, , P, P, P, , , C, , , Game Over! Fools' Landing has sunk
LOSS, 18, 9, 7, P, P, , P, P, , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 15, 7, 14, , P, , P, P, P, , , C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 9, P, , P, , P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 19, 9, 10, , , P, P, P, P, , , , C, Game Over! Treasure 1 can't be captured
LOSS, 15, 8, 16, , P, P, P, , P, , , , , Game Over! Treasure 2 can't be captured
LOSS, 20, 10, 8, P, , P, P, , P, , C, C, C, Game Over! The Island has flooded
LOSS, 21, 9, 4, P, , P, , P, P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 12, , P, P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 24, 10, 8, P, P, P, , , P, , C, C, C, Game Over! The Island has flooded
LOSS, 18, 7, 10, P, P, P, , , P, C, C, , , Game Over! Treasure 2 can't be captured
LOSS, 23, 10, 8, , P, P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 27, 10, 5, P, P, P, P, , , , C, C, C, Game Over! The Island has flooded
LOSS, 16, 8, 13, , P, P, P, , P, , , C, , Game Over! Treasure 1 can't be captured
LOSS, 12, 7, 18, , P, P, P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 8, 4, 21, P, P, P, P, , , , , , , Game Over! Fools' Landing has sunk
LOSS, 19, 10, 9, , P, P, P, P, , , C, C, C, Game Over! The Island has flooded
LOSS, 22, 9, 3, , P, P, P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 22, 7, 7, P, P, P, P, , , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 16, 6, 13, P, P, P, , P, , C, , , , Game Over! Treasure 1 can't be captured
LOSS, 22, 9, 0, P, P, , P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 19, 8, 10, , P, P, , P, P, C, C, , , Game Over! Treasure 3 can't be captured
LOSS, 16, 7, 13, P, P, , , P, P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 18, 10, 11, P, P, P, , P, , , , , , Game Over! The Island has flooded
LOSS, 18, 9, 8, , , P, P, P, P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 24, 10, 8, , P, P, P, , P, C, , C, C, Game Over! The Island has flooded
LOSS, 18, 8, 11, P, , P, , P, P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 14, 7, 12, , , P, P, P, P, , C, , C, Game Over! Treasure 2 can't be captured
LOSS, 13, 6, 18, P, P, P, , P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 9, 4, , P, , P, P, P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 16, 6, 13, , P, P, P, P, , , C, , , Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 4, P, , P, P, , P, C, C, , C, Game Over! The Island has flooded
LOSS, 11, 5, 16, P, P, , P, , P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 11, 5, 19, P, P, , P, , P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 4, P, , , P, P, P, , , C, C, Game Over! Treasure 0 can't be captured
LOSS, 16, 7, 12, P, , P, , P, P, C, , C, , Game Over! Fools' Landing has sunk
LOSS, 18, 7, 11, P, , P, , P, P, C, C, , , Game Over! Treasure 3 can't be captured
LOSS, 21, 8, 7, P, , P, P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 12, 5, 16, P, P, , P, , P, , C, , , Game Over! Treasure 0 can't be captured
LOSS, 11, 5, 17, P, , P, , P, P, , , C, , Game Over! Treasure 1 can't be captured
LOSS, 20, 8, 9, P, P, P, , P, , C, C, , , Game Over! Treasure 3 can't be captured
WIN, 23, 9, 5, P, P, , P, P, , C, C, C, C, You have WON! Congratulations!
LOSS, 20, 9, 10, , P, P, P, , P, C, C, C, , Player was unable to escape a sinking tile
LOSS, 21, 9, 4, P, , P, P, P, , C, C, C, C, Player was unable to escape a sinking tile
LOSS, 11, 5, 18, P, , P, P, , P, , , C, , Game Over! Fools' Landing has sunk
LOSS, 21, 9, 8, P, P, , , P, P, C, , , , Player was unable to escape a sinking tile
LOSS, 20, 9, 5, P, P, P, , P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 7, , P, P, P, , P, , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 11, 6, 17, P, P, P, , P, , , , , , Game Over! Treasure 2 can't be captured
LOSS, 15, 5, 16, , P, , P, P, P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 16, 7, 11, , , P, P, P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 13, 6, 13, , P, , P, P, P, C, , , C, Game Over! Treasure 2 can't be captured
LOSS, 24, 10, 5, , P, P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 22, 8, 2, P, , , P, P, P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 18, 7, 9, , P, P, P, , P, , C, C, C, Game Over! Fools' Landing has sunk
LOSS, 16, 7, 13, P, P, P, , , P, , C, , , Game Over! Fools' Landing has sunk
LOSS, 12, 7, 14, P, , , P, P, P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 20, 10, 9, P, , , P, P, P, C, , C, C, Game Over! The Island has flooded
WIN, 18, 6, 8, P, P, P, P, , , C, C, C, C, You have WON! Congratulations!
LOSS, 17, 8, 9, P, P, , P, P, , C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 10, 4, 18, P, P, , , P, P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 19, , P, P, P, , P, , , , C, Game Over! Treasure 1 can't be captured
LOSS, 1, 2, 22, P, , , P, P, P, , , , , Game Over! Fools' Landing has sunk
WIN, 21, 7, 11, P, P, P, , P, , C, C, C, C, You have WON! Congratulations!
LOSS, 21, 9, 0, P, , P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 13, 6, 16, , P, P, P, P, , C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 19, 9, 6, P, P, P, , P, , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 17, 8, 12, P, P, P, , , P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 11, 5, 15, P, P, P, P, , , , C, , , Game Over! Treasure 0 can't be captured
LOSS, 17, 8, 12, , , P, P, P, P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 7, 5, , P, P, P, P, , C, , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 5, , , P, P, P, P, C, C, , , Game Over! The Island has flooded
LOSS, 22, 9, 7, , P, P, , P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 15, 6, 17, P, P, P, , P, , , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 17, P, , , P, P, P, , , C, , Game Over! Fools' Landing has sunk
LOSS, 20, 10, 8, P, P, P, P, , , C, , C, , Game Over! The Island has flooded
LOSS, 23, 8, 8, P, , P, P, P, , C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 18, 8, 10, P, , P, P, P, , , , C, C, Game Over! Treasure 0 can't be captured
WIN, 20, 8, 8, P, P, , , P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 19, 9, 7, P, , P, P, P, , , C, C, , Game Over! Treasure 0 can't be captured
LOSS, 16, 7, 10, , , P, P, P, P, , , , C, Player was unable to escape a sinking tile
LOSS, 16, 7, 13, P, P, P, P, , , C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 4, 3, 23, P, , , P, P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 15, 7, 14, , P, P, P, P, , , , , C, Game Over! Treasure 2 can't be captured
LOSS, 10, 4, 22, , P, P, P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 10, 4, 17, , P, P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 10, 4, 19, P, , P, , P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 17, 9, 15, , P, P, P, P, , , , , , Game Over! Treasure 0 can't be captured
LOSS, 5, 3, 22, , , P, P, P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 10, 8, P, , P, P, P, , C, C, C, , Game Over! The Island has flooded
LOSS, 11, 5, 17, , , P, P, P, P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 17, 9, 12, P, P, P, , , P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 19, 9, 11, , P, P, , P, P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 8, 4, 21, P, P, , P, P, , , , , , Game Over! Treasure 1 can't be captured
LOSS, 14, 7, 13, P, P, , , P, P, , , C, , Game Over! Treasure 1 can't be captured
LOSS, 19, 10, 10, , P, P, P, P, , C, C, , , Game Over! The Island has flooded
LOSS, 18, 8, 8, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 16, 8, 8, , P, , P, P, P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 18, 8, 13, P, P, , , P, P, C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 20, 8, 3, P, , P, P, , P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 10, 4, 17, P, P, , P, P, , , C, , , Game Over! Treasure 2 can't be captured
LOSS, 19, 9, 9, P, P, P, , P, , , , C, C, Game Over! Fools' Landing has sunk
LOSS, 24, 9, 0, P, , P, P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 8, 5, P, , P, P, P, , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 16, 7, 13, P, P, P, P, , , C, , , , Game Over! Fools' Landing has sunk
LOSS, 22, 9, 0, P, P, , P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 10, 8, P, P, P, , P, , C, C, C, , Game Over! The Island has flooded
LOSS, 24, 8, 4, P, P, , , P, P, C, C, , C, Player was unable to escape a sinking tile
LOSS, 12, 5, 16, , , P, P, P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 4, P, , P, , P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 15, 6, 18, P, P, , P, P, , , , C, C, Game Over! Treasure 0 can't be captured
LOSS, 10, 4, 19, , , P, P, P, P, , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 18, 8, 8, , P, P, , P, P, , , C, , Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 4, , P, P, , P, P, C, C, C, C, Game Over! The Island has flooded
WIN, 24, 8, 2, , P, P, P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 6, 4, 19, , , P, P, P, P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 11, 5, 19, , , P, P, P, P, , , C, C, Game Over! Fools' Landing has sunk
LOSS, 19, 8, 6, , P, P, P, P, , C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 5, 3, 21, P, P, , , P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 16, 8, 7, P, P, , P, P, , , C, C, C, Game Over! Fools' Landing has sunk
LOSS, 23, 8, 2, , P, , P, P, P, C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 21, 9, 5, P, P, , P, , P, C, , , C, Game Over! Treasure 2 can't be captured
LOSS, 17, 7, 14, P, P, P, , P, , C, , , , Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 11, P, , P, , P, P, , , C, , Game Over! Treasure 0 can't be captured
LOSS, 14, 7, 15, P, P, , , P, P, , , C, C, Game Over! Treasure 1 can't be captured
LOSS, 23, 9, 4, P, , P, , P, P, C, C, C, , Player was unable to escape a sinking tile
LOSS, 21, 10, 10, , P, , P, P, P, C, C, C, C, Game Over! The Island has flooded
LOSS, 12, 5, 20, P, P, , , P, P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 14, 6, 18, , , P, P, P, P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 18, 8, 9, , P, P, , P, P, C, , C, , Game Over! Fools' Landing has sunk
LOSS, 24, 10, 3, P, , P, P, , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 22, 10, 7, P, , P, , P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 18, 7, 9, , P, P, P, P, , , , C, C, Game Over! Treasure 0 can't be captured
LOSS, 24, 9, 4, , P, P, , P, P, C, , C, C, Player was unable to escape a sinking tile
LOSS, 20, 8, 8, P, P, , , P, P, , , , C, Game Over! Treasure 2 can't be captured
LOSS, 13, 7, 16, P, P, P, , P, , , , , , Game Over! Treasure 0 can't be captured
LOSS, 13, 7, 16, P, , P, P, P, , , , , , Game Over! Treasure 1 can't be captured
LOSS, 23, 10, 2, P, , P, P, , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 13, 7, 14, P, P, , , P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 11, P, , P, P, P, , , , C, , Game Over! Treasure 0 can't be captured
LOSS, 23, 8, 2, P, P, , , P, P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 22, 10, 6, P, , P, , P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 12, 5, 18, P, P, , P, P, , , , C, , Game Over! Treasure 1 can't be captured
LOSS, 15, 6, 13, , , P, P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 19, 7, 6, P, , P, , P, P, C, , C, C, Player was unable to escape a sinking tile
LOSS, 14, 7, 17, P, P, , P, P, , C, , , , Game Over! Fools' Landing has sunk
LOSS, 8, 3, 21, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 14, 7, 13, , P, P, P, P, , , , , C, Game Over! Treasure 0 can't be captured
LOSS, 22, 10, 8, , P, P, P, , P, , C, , C, Game Over! The Island has flooded
LOSS, 8, 4, 22, P, P, P, P, , , , , , , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 19, , , P, P, P, P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 16, 7, 15, P, P, P, , P, , , , , C, Game Over! Treasure 2 can't be captured
LOSS, 20, 9, 4, P, , P, , P, P, , C, , C, Game Over! Fools' Landing has sunk
WIN, 21, 7, 10, P, P, , P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 15, 6, 11, , P, , P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 12, 6, 15, , P, , P, P, P, C, , , , Game Over! Treasure 2 can't be captured
LOSS, 19, 8, 11, P, P, , , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 2, 2, 22, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 9, 4, 19, P, P, P, , P, , , C, , , Game Over! Fools' Landing has sunk
LOSS, 19, 9, 6, P, , , P, P, P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 17, 9, 10, P, , P, P, P, , , , C, , Game Over! Treasure 3 can't be captured
LOSS, 23, 10, 5, P, P, P, , , P, , C, C, C, Game Over! The Island has flooded
LOSS, 21, 9, 9, P, P, , P, P, , C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 19, 9, 9, P, , , P, P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 9, 5, P, , P, P, , P, , C, C, , Game Over! Fools' Landing has sunk
WIN, 21, 8, 1, P, P, , , P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 12, 6, 18, P, P, , P, P, , C, , , C, Game Over! Fools' Landing has sunk
LOSS, 20, 8, 9, P, , P, P, P, , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 19, 9, 8, P, P, , , P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 20, 9, 4, P, , P, , P, P, C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 21, 8, 4, P, P, P, , , P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 21, 10, 11, P, P, P, , P, , , , , C, Game Over! The Island has flooded
LOSS, 17, 9, 10, P, P, , , P, P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 20, 8, 8, P, , P, P, P, , , , C, C, Player was unable to escape a sinking tile
WIN, 24, 9, 3, , P, P, P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 24, 9, 2, P, P, P, , P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 9, 5, , , P, P, P, P, , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 21, 9, 6, P, , , P, P, P, , C, , C, Game Over! Treasure 0 can't be captured
LOSS, 13, 7, 16, P, P, P, P, , , C, , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 10, 5, , P, P, , P, P, , C, C, C, Game Over! The Island has flooded
LOSS, 19, 7, 9, , , P, P, P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 12, , P, P, , P, P, C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 11, P, , P, P, , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 19, 9, 11, P, P, P, P, , , C, , C, , Game Over! Fools' Landing has sunk
LOSS, 23, 9, 5, P, , P, P, , P, C, C, C, C, Player was unable to escape a sinking tile
WIN, 22, 8, 9, P, P, P, , , P, C, C, C, C, You have WON! Congratulations!
WIN, 23, 7, 5, , P, P, , P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 20, 10, 12, , P, , P, P, P, , C, , , Game Over! The Island has flooded
LOSS, 22, 10, 6, P, , P, P, , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 7, 4, 21, P, P, , P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 23, 8, 2, P, P, , P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 6, P, , P, P, , P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 14, 7, 15, P, P, P, , , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 19, 8, 13, P, P, , , P, P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 20, 9, 8, , P, , P, P, P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 17, 10, 15, P, P, P, , , P, , , C, , Game Over! The Island has flooded
LOSS, 13, 5, 16, P, , P, P, P, , C, , , , Game Over! Treasure 3 can't be captured
LOSS, 24, 8, 4, P, , , P, P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 21, 10, 9, P, , P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 13, 7, 18, P, P, P, P, , , C, , , C, Game Over! Fools' Landing has sunk
LOSS, 20, 9, 12, P, P, P, , , P, C, , , , Game Over! Treasure 3 can't be captured
WIN, 19, 7, 9, P, P, P, , P, , C, C, C, C, You have WON! Congratulations!
LOSS, 15, 7, 12, P, P, P, , , P, , , C, , Game Over! Fools' Landing has sunk
LOSS, 15, 7, 10, P, P, , P, , P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 14, 7, 15, P, , P, P, P, , , , , , Game Over! Treasure 3 can't be captured
LOSS, 21, 9, 5, P, P, P, P, , , C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 17, P, , P, P, , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 10, 6, P, P, P, P, , , C, C, , C, Game Over! The Island has flooded
LOSS, 19, 7, 11, P, P, P, P, , , , , , C, Game Over! Treasure 0 can't be captured
LOSS, 12, 6, 19, P, P, , P, , P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 7, 4, 20, , P, P, P, , P, , , , , Game Over! Treasure 2 can't be captured
LOSS, 24, 10, 5, P, , P, P, , P, , C, C, C, Game Over! The Island has flooded
LOSS, 23, 9, 1, P, P, P, , , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 18, 8, 10, , P, P, P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 10, 8, P, , P, , P, P, , C, , C, Game Over! The Island has flooded
LOSS, 8, 4, 20, , , P, P, P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 10, 5, P, , P, P, P, , C, C, C, , Game Over! The Island has flooded
LOSS, 23, 10, 7, P, , P, , P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 18, 9, 7, P, P, , P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 15, 7, 14, P, P, P, P, , , , , , , Game Over! Treasure 2 can't be captured
LOSS, 15, 5, 17, P, , P, P, , P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 16, 8, 12, P, P, , P, , P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 19, 10, 13, P, P, P, , P, , , C, C, , Game Over! The Island has flooded
LOSS, 13, 7, 13, , P, P, , P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 11, 5, 20, P, P, , P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 5, 3, 21, P, P, , P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 11, 5, 18, , P, , P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 11, 5, 19, P, P, , , P, P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 23, 9, 3, P, , P, , P, P, C, , C, C, Player was unable to escape a sinking tile
LOSS, 6, 3, 20, P, P, , P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 10, P, P, P, , , P, C, C, C, , Game Over! The Island has flooded
LOSS, 17, 9, 12, P, P, P, , P, , , , C, C, Game Over! Treasure 0 can't be captured
LOSS, 19, 8, 5, P, , P, , P, P, C, C, C, , Player was unable to escape a sinking tile
LOSS, 22, 8, 0, P, P, P, , P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 22, 9, 3, P, , P, P, , P, C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 18, 7, 11, P, , P, P, P, , C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 20, 9, 10, P, P, P, , , P, C, , C, C, Player was unable to escape a sinking tile
LOSS, 12, 5, 17, , P, P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 12, 6, 17, P, P, P, P, , , , , , , Game Over! Treasure 0 can't be captured
LOSS, 15, 7, 14, P, , , P, P, P, C, , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 7, P, , P, P, P, , C, , C, C, Game Over! The Island has flooded
LOSS, 14, 7, 14, , P, , P, P, P, , , C, , Game Over! Treasure 0 can't be captured
LOSS, 4, 2, 22, P, P, , , P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 11, 5, 19, P, P, , P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 14, 7, 15, P, , , P, P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 24, 8, 3, P, P, , P, , P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 12, 6, 16, P, P, , , P, P, C, , , , Game Over! Fools' Landing has sunk
LOSS, 15, 6, 16, P, P, P, , , P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 21, 9, 7, P, , P, , P, P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 15, 7, 13, P, P, P, P, , , , , , , Player was unable to escape a sinking tile
LOSS, 9, 4, 22, P, , P, P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 21, 7, 8, P, P, , P, , P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 20, 7, 7, P, P, , P, P, , C, , C, C, Player was unable to escape a sinking tile
LOSS, 21, 9, 5, P, P, P, P, , , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 15, 6, 17, P, P, P, , P, , , C, C, , Game Over! Treasure 0 can't be captured
LOSS, 19, 8, 8, P, P, P, , P, , C, , , C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 3, , P, P, P, , P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 21, 10, 6, P, , , P, P, P, , C, , C, Game Over! The Island has flooded
